      time;      TAmb;      TDif;      TRes;_block_jacobian_check_tol;_cs_rel_tol;_cs_step_size;_events_default_tol;_events_tol_factor;_nle_solver_default_tol;_nle_solver_min_tol;_nle_solver_tol_factor;constantVoltage.V;constantVoltage.i;constantVoltage.n.i;constantVoltage.n.v;constantVoltage.p.i;constantVoltage.p.v;constantVoltage.v;fixedTemperature.T;fixedTemperature.port.Q_flow;fixedTemperature.port.T;ground.p.i;ground.p.v;heatCapacitor.C;heatCapacitor.T;heatCapacitor.der(T);heatCapacitor.der_T;heatCapacitor.port.Q_flow;heatingResistor.LossPower;heatingResistor.R;heatingResistor.R_ref;heatingResistor.T;heatingResistor.T_ref;heatingResistor.alpha;heatingResistor.heatPort.Q_flow;heatingResistor.i;heatingResistor.n.i;heatingResistor.n.v;heatingResistor.p.i;heatingResistor.p.v;heatingResistor.v;idealSwitch.Goff;idealSwitch.LossPower;idealSwitch.Ron;idealSwitch.T;idealSwitch.T_heatPort;idealSwitch.i;idealSwitch.n.i;idealSwitch.n.v;idealSwitch.p.i;idealSwitch.p.v;idealSwitch.s;idealSwitch.unitCurrent;idealSwitch.unitVoltage;idealSwitch.v;onOffController.bandwidth;onOffController.reference;onOffController.u;ramp.duration;ramp.height;ramp.offset;ramp.startTime;    ramp.y;temperatureSensor.T;temperatureSensor.port.Q_flow;thermalConductor.G;thermalConductor.Q_flow;thermalConductor.dT;thermalConductor.port_a.Q_flow;thermalConductor.port_b.Q_flow;thermalConductor.port_b.T;_cs_solver;_log_level;_nle_solver_log_level;_block_jacobian_check;_enforce_bounds;_nle_solver_check_jac_cond;_rescale_after_singular_jac;_rescale_each_step;_use_Brent_in_1d;_use_automatic_scaling;_use_jacobian_scaling;_use_manual_equation_scaling;heatingResistor.useHeatPort;idealSwitch.control;idealSwitch.useHeatPort;logicalNot.u;logicalNot.y;onOffController.pre_y_start;onOffController.y;indicators.z[0];indicators.z[1];indicators.z[2];indicators.z[3];solver.numSteps;solver.minStepSize;solver.maxStepSize;solver.minOrder;solver.maxOrder;solver.numStateEvents;solver.numTimeEvents;   TAmb_cc;   TDif_cc;TRes=heatCapacitor.T_cc;_block_jacobian_check_cc;_block_jacobian_check_tol_cc;_cs_rel_tol_cc;_cs_solver_cc;_cs_step_size_cc;_enforce_bounds_cc;_events_default_tol_cc;_events_tol_factor_cc;_log_level_cc;_nle_solver_check_jac_cond_cc;_nle_solver_default_tol_cc;_nle_solver_log_level_cc;_nle_solver_min_tol_cc;_nle_solver_tol_factor_cc;_rescale_after_singular_jac_cc;_rescale_each_step_cc;_use_Brent_in_1d_cc;_use_automatic_scaling_cc;_use_jacobian_scaling_cc;_use_manual_equation_scaling_cc;constantVoltage.V_cc;constantVoltage.i=-heatingResistor.p.i_cc;constantVoltage.n.i=heatingResistor.p.i_cc;constantVoltage.n.v_cc;constantVoltage.p.i=-heatingResistor.p.i_cc;constantVoltage.p.v_cc;constantVoltage.v=constantVoltage.V_cc;fixedTemperature.T_cc;fixedTemperature.port.Q_flow=thermalConductor.port_a.Q_flow_cc;fixedTemperature.port.T=fixedTemperature.T_cc;ground.p.i_cc;ground.p.v=constantVoltage.n.v_cc;heatCapacitor.C_cc;heatCapacitor.T_cc;heatCapacitor.der(T)_cc;heatCapacitor.der_T_cc;heatCapacitor.port.Q_flow_cc;heatCapacitor.port.T=heatCapacitor.T_cc;heatingResistor.LossPower=-heatingResistor.heatPort.Q_flow_cc;heatingResistor.R_cc;heatingResistor.R_ref_cc;heatingResistor.T_cc;heatingResistor.T_heatPort=heatCapacitor.T_cc;heatingResistor.T_ref_cc;heatingResistor.alpha_cc;heatingResistor.heatPort.Q_flow_cc;heatingResistor.heatPort.T=heatCapacitor.T_cc;heatingResistor.i=heatingResistor.p.i_cc;heatingResistor.n.i=-heatingResistor.p.i_cc;heatingResistor.n.v=constantVoltage.n.v_cc;heatingResistor.p.i_cc;heatingResistor.p.v_cc;heatingResistor.useHeatPort_cc;heatingResistor.v_cc;idealSwitch.Goff_cc;idealSwitch.LossPower_cc;idealSwitch.Ron_cc;idealSwitch.T_cc;idealSwitch.T_heatPort=idealSwitch.T_cc;idealSwitch.control_cc;idealSwitch.i=heatingResistor.p.i_cc;idealSwitch.n.i=-heatingResistor.p.i_cc;idealSwitch.n.v=heatingResistor.p.v_cc;idealSwitch.p.i=heatingResistor.p.i_cc;idealSwitch.p.v=constantVoltage.p.v_cc;idealSwitch.s_cc;idealSwitch.unitCurrent_cc;idealSwitch.unitVoltage_cc;idealSwitch.useHeatPort_cc;idealSwitch.v_cc;logicalNot.u_cc;logicalNot.y=idealSwitch.control_cc;onOffController.bandwidth_cc;onOffController.pre_y_start_cc;onOffController.reference_cc;onOffController.u_cc;onOffController.y=logicalNot.u_cc;ramp.duration_cc;ramp.height_cc;ramp.offset_cc;ramp.startTime_cc;ramp.y=onOffController.reference_cc;temperatureSensor.T=onOffController.u_cc;temperatureSensor.port.Q_flow_cc;temperatureSensor.port.T=heatCapacitor.T_cc;thermalConductor.G_cc;thermalConductor.Q_flow=thermalConductor.port_a.Q_flow_cc;thermalConductor.dT_cc;thermalConductor.port_a.Q_flow_cc;thermalConductor.port_a.T=heatCapacitor.T_cc;thermalConductor.port_b.Q_flow=-thermalConductor.port_a.Q_flow_cc;thermalConductor.port_b.T=fixedTemperature.T_cc;qtronic.silver.allow_non_virtual_can;qtronic.silver.env.PROCESSOR_LEVEL;qtronic.silver.env.NUMBER_OF_PROCESSORS;qtronic.silver.real_time;qtronic.silver.env.Timestep;qtronic.silver.macro_step;qtronic.silver.version.sp;qtronic.silver.version.minor;qtronic.silver.version.major;         u;qtronic.silver.internal.stepDisabled;qtronic.silver.internal.pauseDisabled
         0;    293.15;         2;    293.15;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10; -0.999999;  0.999999;         0; -0.999999;        10;        10;    293.15;         0;    293.15;         0;         0;         1;    293.15;   9.99998;   9.99998;   9.99998;   9.99998;        10;        10;    293.15;    293.15;0.0039215686;  -9.99998;  0.999999; -0.999999;         0;  0.999999;   9.99999;   9.99999;    1e-005;9.99998e-006;    1e-005;    293.15;    293.15;  0.999999; -0.999999;   9.99999;  0.999999;        10;  0.999999;         1;         1;9.99999e-006;         2;        25;        20;         6;        25;        25;         2;        25;        20;         0;       0.1;         0;         0;         0;        -0;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;        -2;        -8;        -6;        -4;         0;         0;         0;         0;         0;         0;         0;    293.15;         2;    293.15;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.999999;  0.999999;         0; -0.999999;        10;        10;    293.15;         0;    293.15;         0;         0;         1;    293.15;   9.99998;   9.99998;   9.99998;    293.15;   9.99998;        10;        10;    293.15;    293.15;    293.15;0.00392157;  -9.99998;    293.15;  0.999999; -0.999999;         0;  0.999999;   9.99999;         0;   9.99999;    1e-005;9.99998e-006;    1e-005;    293.15;    293.15;         0;  0.999999; -0.999999;   9.99999;  0.999999;        10;  0.999999;         1;         1;         0;9.99999e-006;         0;         0;         2;         0;        25;        20;         0;         6;        25;        25;         2;        25;        20;         0;    293.15;       0.1;         0;         0;         0;    293.15;         0;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.01;    293.15;         2; 293.24992;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99960732;0.99960732;         0;-0.99960732;        10;        10;    293.15;0.0099916897;    293.15;         0;         0;         1; 293.24992; 9.9860716; 9.9860716; 9.9860716; 9.9960632; 10.003918;        10;    293.15;    293.15;0.0039215686;-9.9960632;0.99960732;-0.99960732;         0;0.99960732;   9.99999;   9.99999;    1e-005;9.992148e-006;    1e-005;    293.15;    293.15;0.99960732;-0.99960732;   9.99999;0.99960732;        10;0.99960732;         1;         1;9.9960732e-006;         2;        25; 20.099917;         6;        25;        25;         2;        25; 20.099917;         0;       0.1;0.0099916897;0.099916897;0.0099916897;-0.0099916897;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.99;     -7.99;-5.9000831;-3.9000831;         4;         0;0.0034321707;         0;         1;         1;         0;    293.15;         2;    293.25;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.999607;  0.999607;         0; -0.999607;        10;        10;    293.15;0.00999372;    293.15;         0;         0;         1;    293.25;   9.98607;   9.98607;   9.98607;    293.25;   9.99606;   10.0039;        10;    293.15;    293.25;    293.15;0.00392157;  -9.99606;    293.25;  0.999607; -0.999607;         0;  0.999607;   9.99999;         0;   9.99999;    1e-005;9.99215e-006;    1e-005;    293.15;    293.15;         0;  0.999607; -0.999607;   9.99999;  0.999607;        10;  0.999607;         1;         1;         0;9.99607e-006;         0;         0;         2;         0;        25;   20.0999;         0;         6;        25;        25;         2;        25;   20.0999;         0;    293.25;       0.1;0.00999372; 0.0999372;0.00999372;    293.25;-0.00999372;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.02;    293.15;         2;  293.3497;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99921647;0.99921647;         0;-0.99921647;        10;        10;    293.15;0.01997023;    293.15;         0;         0;         1;  293.3497; 9.9721845; 9.9721845; 9.9721845; 9.9921547; 10.007831;        10;    293.15;    293.15;0.0039215686;-9.9921547;0.99921647;-0.99921647;         0;0.99921647;   9.99999;   9.99999;    1e-005;9.9843355e-006;    1e-005;    293.15;    293.15;0.99921647;-0.99921647;   9.99999;0.99921647;        10;0.99921647;         1;         1;9.9921647e-006;         2;        25; 20.199702;         6;        25;        25;         2;        25; 20.199702;         0;       0.1;0.01997023; 0.1997023;0.01997023;-0.01997023;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.98;     -7.98;-5.8002977;-3.8002977;         5;0.0065671428;0.0065671428;         2;         2;         1;         0;    293.15;         2;    293.35;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.999216;  0.999216;         0; -0.999216;        10;        10;    293.15; 0.0199735;    293.15;         0;         0;         1;    293.35;   9.97218;   9.97218;   9.97218;    293.35;   9.99215;   10.0078;        10;    293.15;    293.35;    293.15;0.00392157;  -9.99215;    293.35;  0.999216; -0.999216;         0;  0.999216;   9.99999;         0;   9.99999;    1e-005;9.98433e-006;    1e-005;    293.15;    293.15;         0;  0.999216; -0.999216;   9.99999;  0.999216;        10;  0.999216;         1;         1;         0;9.99216e-006;         0;         0;         2;         0;        25;   20.1997;         0;         6;        25;        25;         2;        25;   20.1997;         0;    293.35;       0.1; 0.0199735;  0.199735; 0.0199735;    293.35;-0.0199735;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.03;    293.15;         2; 293.44935;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99882645;0.99882645;         0;-0.99882645;        10;        10;    293.15;0.029935289;    293.15;         0;         0;         1; 293.44935; 9.9583192; 9.9583192; 9.9583192; 9.9882545; 10.011739;        10;    293.15;    293.15;0.0039215686;-9.9882545;0.99882645;-0.99882645;         0;0.99882645;   9.99999;   9.99999;    1e-005;9.9765427e-006;    1e-005;    293.15;    293.15;0.99882645;-0.99882645;   9.99999;0.99882645;        10;0.99882645;         1;         1;9.9882645e-006;         2;        25; 20.299353;         6;        25;        25;         2;        25; 20.299353;         0;       0.1;0.029935289;0.29935289;0.029935289;-0.029935289;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.97;     -7.97;-5.7006471;-3.7006471;         6;      0.01;      0.01;         2;         2;         1;         0;    293.15;         2;   293.449;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.998826;  0.998826;         0; -0.998826;        10;        10;    293.15; 0.0299395;    293.15;         0;         0;         1;   293.449;   9.95831;   9.95831;   9.95831;   293.449;   9.98825;   10.0117;        10;    293.15;   293.449;    293.15;0.00392157;  -9.98825;   293.449;  0.998826; -0.998826;         0;  0.998826;   9.99999;         0;   9.99999;    1e-005;9.97654e-006;    1e-005;    293.15;    293.15;         0;  0.998826; -0.998826;   9.99999;  0.998826;        10;  0.998826;         1;         1;         0;9.98826e-006;         0;         0;         2;         0;        25;   20.2994;         0;         6;        25;        25;         2;        25;   20.2994;         0;   293.449;       0.1; 0.0299395;  0.299395; 0.0299395;   293.449;-0.0299395;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.04;    293.15;         2; 293.54887;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99843726;0.99843726;         0;-0.99843726;        10;        10;    293.15;0.039886626;    293.15;         0;         0;         1; 293.54887; 9.9444761; 9.9444761; 9.9444761; 9.9843627; 10.015642;        10;    293.15;    293.15;0.0039215686;-9.9843627;0.99843726;-0.99843726;         0;0.99843726;   9.99999;   9.99999;    1e-005;9.9687697e-006;    1e-005;    293.15;    293.15;0.99843726;-0.99843726;   9.99999;0.99843726;        10;0.99843726;         1;         1;9.9843726e-006;         2;        25; 20.398866;         6;        25;        25;         2;        25; 20.398866;         0;       0.1;0.039886626;0.39886626;0.039886626;-0.039886626;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.96;     -7.96;-5.6011337;-3.6011337;         7;      0.01;      0.01;         2;         2;         1;         0;    293.15;         2;   293.549;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.998437;  0.998437;         0; -0.998437;        10;        10;    293.15; 0.0398916;    293.15;         0;         0;         1;   293.549;   9.94447;   9.94447;   9.94447;   293.549;   9.98436;   10.0156;        10;    293.15;   293.549;    293.15;0.00392157;  -9.98436;   293.549;  0.998437; -0.998437;         0;  0.998437;   9.99999;         0;   9.99999;    1e-005;9.96877e-006;    1e-005;    293.15;    293.15;         0;  0.998437; -0.998437;   9.99999;  0.998437;        10;  0.998437;         1;         1;         0;9.98437e-006;         0;         0;         2;         0;        25;   20.3989;         0;         6;        25;        25;         2;        25;   20.3989;         0;   293.549;       0.1; 0.0398916;  0.398916; 0.0398916;   293.549;-0.0398916;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.05;    293.15;         2; 293.64824;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99804892;0.99804892;         0;-0.99804892;        10;        10;    293.15;0.049824176;    293.15;         0;         0;         1; 293.64824; 9.9306551; 9.9306551; 9.9306551; 9.9804793; 10.019539;        10;    293.15;    293.15;0.0039215686;-9.9804793;0.99804892;-0.99804892;         0;0.99804892;   9.99999;   9.99999;    1e-005;9.9610166e-006;    1e-005;    293.15;    293.15;0.99804892;-0.99804892;   9.99999;0.99804892;        10;0.99804892;         1;         1;9.9804892e-006;         2;        25; 20.498242;         6;        25;        25;         2;        25; 20.498242;         0;       0.1;0.049824176;0.49824176;0.049824176;-0.049824176;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.95;     -7.95;-5.5017582;-3.5017582;         8;      0.01;      0.01;         2;         2;         1;         0;    293.15;         2;   293.648;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.998049;  0.998049;         0; -0.998049;        10;        10;    293.15; 0.0498298;    293.15;         0;         0;         1;   293.648;   9.93065;   9.93065;   9.93065;   293.648;   9.98048;   10.0195;        10;    293.15;   293.648;    293.15;0.00392157;  -9.98048;   293.648;  0.998049; -0.998049;         0;  0.998049;   9.99999;         0;   9.99999;    1e-005;9.96101e-006;    1e-005;    293.15;    293.15;         0;  0.998049; -0.998049;   9.99999;  0.998049;        10;  0.998049;         1;         1;         0;9.98049e-006;         0;         0;         2;         0;        25;   20.4983;         0;         6;        25;        25;         2;        25;   20.4983;         0;   293.648;       0.1; 0.0498298;  0.498298; 0.0498298;   293.648;-0.0498298;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.06;    293.15;         2; 293.74748;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99766143;0.99766143;         0;-0.99766143;        10;        10;    293.15;0.059747929;    293.15;         0;         0;         1; 293.74748; 9.9168564; 9.9168564; 9.9168564; 9.9766043; 10.023431;        10;    293.15;    293.15;0.0039215686;-9.9766043;0.99766143;-0.99766143;         0;0.99766143;   9.99999;   9.99999;    1e-005;9.9532832e-006;    1e-005;    293.15;    293.15;0.99766143;-0.99766143;   9.99999;0.99766143;        10;0.99766143;         1;         1;9.9766143e-006;         2;        25; 20.597479;         6;        25;        25;         2;        25; 20.597479;         0;       0.1;0.059747929;0.59747929;0.059747929;-0.059747929;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.94;     -7.94;-5.4025207;-3.4025207;         9;      0.01;      0.01;         2;         2;         1;         0;    293.15;         2;   293.748;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.997661;  0.997661;         0; -0.997661;        10;        10;    293.15; 0.0597542;    293.15;         0;         0;         1;   293.748;   9.91685;   9.91685;   9.91685;   293.748;    9.9766;   10.0234;        10;    293.15;   293.748;    293.15;0.00392157;   -9.9766;   293.748;  0.997661; -0.997661;         0;  0.997661;   9.99999;         0;   9.99999;    1e-005;9.95328e-006;    1e-005;    293.15;    293.15;         0;  0.997661; -0.997661;   9.99999;  0.997661;        10;  0.997661;         1;         1;         0;9.97661e-006;         0;         0;         2;         0;        25;   20.5975;         0;         6;        25;        25;         2;        25;   20.5975;         0;   293.748;       0.1; 0.0597542;  0.597542; 0.0597542;   293.748;-0.0597542;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.07;    293.15;         2; 293.84658;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99727476;0.99727476;         0;-0.99727476;        10;        10;    293.15;0.069657901;    293.15;         0;         0;         1; 293.84658; 9.9030798; 9.9030798; 9.9030798; 9.9727377; 10.027317;        10;    293.15;    293.15;0.0039215686;-9.9727377;0.99727476;-0.99727476;         0;0.99727476;   9.99999;   9.99999;    1e-005;9.9455696e-006;    1e-005;    293.15;    293.15;0.99727476;-0.99727476;   9.99999;0.99727476;        10;0.99727476;         1;         1;9.9727476e-006;         2;        25; 20.696579;         6;        25;        25;         2;        25; 20.696579;         0;       0.1;0.069657901;0.69657901;0.069657901;-0.069657901;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.93;     -7.93; -5.303421; -3.303421;        10;      0.01;      0.01;         2;         2;         1;         0;    293.15;         2;   293.847;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.997274;  0.997274;         0; -0.997274;        10;        10;    293.15; 0.0696649;    293.15;         0;         0;         1;   293.847;   9.90307;   9.90307;   9.90307;   293.847;   9.97273;   10.0273;        10;    293.15;   293.847;    293.15;0.00392157;  -9.97273;   293.847;  0.997274; -0.997274;         0;  0.997274;   9.99999;         0;   9.99999;    1e-005;9.94556e-006;    1e-005;    293.15;    293.15;         0;  0.997274; -0.997274;   9.99999;  0.997274;        10;  0.997274;         1;         1;         0;9.97274e-006;         0;         0;         2;         0;        25;   20.6966;         0;         6;        25;        25;         2;        25;   20.6966;         0;   293.847;       0.1; 0.0696649;  0.696649; 0.0696649;   293.847;-0.0696649;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.08;    293.15;         2; 293.94554;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99688894;0.99688894;         0;-0.99688894;        10;        10;    293.15;0.079554108;    293.15;         0;         0;         1; 293.94554; 9.8893254; 9.8893254; 9.8893254; 9.9688795; 10.031198;        10;    293.15;    293.15;0.0039215686;-9.9688795;0.99688894;-0.99688894;         0;0.99688894;   9.99999;   9.99999;    1e-005;9.9378756e-006;    1e-005;    293.15;    293.15;0.99688894;-0.99688894;   9.99999;0.99688894;        10;0.99688894;         1;         1;9.9688894e-006;         2;        25; 20.795541;         6;        25;        25;         2;        25; 20.795541;         0;       0.1;0.079554108;0.79554108;0.079554108;-0.079554108;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.92;     -7.92;-5.2044589;-3.2044589;        11;      0.01;      0.01;         2;         2;         1;         0;    293.15;         2;   293.946;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.996889;  0.996889;         0; -0.996889;        10;        10;    293.15; 0.0795618;    293.15;         0;         0;         1;   293.946;   9.88931;   9.88931;   9.88931;   293.946;   9.96888;   10.0312;        10;    293.15;   293.946;    293.15;0.00392157;  -9.96888;   293.946;  0.996889; -0.996889;         0;  0.996889;   9.99999;         0;   9.99999;    1e-005;9.93787e-006;    1e-005;    293.15;    293.15;         0;  0.996889; -0.996889;   9.99999;  0.996889;        10;  0.996889;         1;         1;         0;9.96889e-006;         0;         0;         2;         0;        25;   20.7956;         0;         6;        25;        25;         2;        25;   20.7956;         0;   293.946;       0.1; 0.0795618;  0.795618; 0.0795618;   293.946;-0.0795618;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
      0.09;    293.15;         2; 294.04437;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99650395;0.99650395;         0;-0.99650395;        10;        10;    293.15;0.089436572;    293.15;         0;         0;         1; 294.04437;  9.875593;  9.875593;  9.875593; 9.9650296; 10.035073;        10;    293.15;    293.15;0.0039215686;-9.9650296;0.99650395;-0.99650395;         0;0.99650395;   9.99999;   9.99999;    1e-005;9.9302012e-006;    1e-005;    293.15;    293.15;0.99650395;-0.99650395;   9.99999;0.99650395;        10;0.99650395;         1;         1;9.9650395e-006;         2;        25; 20.894366;         6;        25;        25;         2;        25; 20.894366;         0;       0.1;0.089436572;0.89436572;0.089436572;-0.089436572;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;     -1.91;     -7.91;-5.1056343;-3.1056343;        12;      0.01;      0.01;         2;         2;         1;         0;    293.15;         2;   294.044;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.996504;  0.996504;         0; -0.996504;        10;        10;    293.15; 0.0894449;    293.15;         0;         0;         1;   294.044;   9.87558;   9.87558;   9.87558;   294.044;   9.96503;   10.0351;        10;    293.15;   294.044;    293.15;0.00392157;  -9.96503;   294.044;  0.996504; -0.996504;         0;  0.996504;   9.99999;         0;   9.99999;    1e-005;9.93019e-006;    1e-005;    293.15;    293.15;         0;  0.996504; -0.996504;   9.99999;  0.996504;        10;  0.996504;         1;         1;         0;9.96504e-006;         0;         0;         2;         0;        25;   20.8944;         0;         6;        25;        25;         2;        25;   20.8944;         0;   294.044;       0.1; 0.0894449;  0.894449; 0.0894449;   294.044;-0.0894449;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
       0.1;    293.15;         2; 294.14305;    1e-006;    1e-006;     0.001;    1e-010;    0.0001;    1e-010;    1e-012;    0.0001;        10;-0.99611979;0.99611979;         0;-0.99611979;        10;        10;    293.15;0.099305316;    293.15;         0;         0;         1; 294.14305; 9.8618826; 9.8618826; 9.8618826;  9.961188; 10.038943;        10;    293.15;    293.15;0.0039215686; -9.961188;0.99611979;-0.99611979;         0;0.99611979;   9.99999;   9.99999;    1e-005;9.9225463e-006;    1e-005;    293.15;    293.15;0.99611979;-0.99611979;   9.99999;0.99611979;        10;0.99611979;         1;         1;9.9611979e-006;         2;        25; 20.993053;         6;        25;        25;         2;        25; 20.993053;         0;       0.1;0.099305316;0.99305316;0.099305316;-0.099305316;    293.15;         0;         3;         0;         0;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;         0;         0;         1;      -1.9;      -7.9;-5.0069468;-3.0069468;        13;      0.01;      0.01;         2;         2;         1;         0;    293.15;         2;   294.143;         0;    1e-006;    1e-006;         0;     0.001;         0;    1e-010;    0.0001;         3;         0;    1e-010;         0;    1e-012;    0.0001;         0;         0;         0;         0;         0;         0;        10; -0.996119;  0.996119;         0; -0.996119;        10;        10;    293.15; 0.0993143;    293.15;         0;         0;         1;   294.143;   9.86187;   9.86187;   9.86187;   294.143;   9.96118;   10.0389;        10;    293.15;   294.143;    293.15;0.00392157;  -9.96118;   294.143;  0.996119; -0.996119;         0;  0.996119;   9.99999;         0;   9.99999;    1e-005;9.92254e-006;    1e-005;    293.15;    293.15;         0;  0.996119; -0.996119;   9.99999;  0.996119;        10;  0.996119;         1;         1;         0;9.96119e-006;         0;         0;         2;         0;        25;   20.9931;         0;         6;        25;        25;         2;        25;   20.9931;         0;   294.143;       0.1; 0.0993143;  0.993143; 0.0993143;   294.143;-0.0993143;    293.15;         0;         6;         2;         0;     0.003;      0.01;         0;         0;1.4821969e-323;         0;         0;         0
